COYOTEID,PAIRED,TISSUE,SECTION,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
CL19,YES,HAIR,BASE,22,urban,matrix,2011-10-14,2011,10,MM,-23.8,9.5,44.9,14.1,1,0,M,1
CL19,YES,HAIR,TIP,23,urban,matrix,2011-10-14,2011,10,MM,-23.5,9.4,45.8,14.5,1,0,M,1
CL19,YES,HAIR,BASE,24,urban,matrix,2012-04-30,2012,4,MM,-23.4,8.3,46.5,15.3,1,1,M,1
CL19,YES,HAIR,TIP,25,urban,matrix,2012-04-30,2012,4,MM,-23.4,8.3,45,15.1,1,0,M,1
CL19,YES,HAIR,ALL,26,urban,matrix,2011-06-06,2011,6,MM,-23,8.5,34.69130502,10.6,1,1,M,1
CL20,NO,HAIR,ALL,27,urban,urban,2011-06-07,2011,6,MM,-23.2,7.6,45.11815869,15.1,0,1,M,1
CL21,NO,HAIR,ALL,28,urban,greenspace,2011-10-23,2011,10,MM,-23.4,7.8,46.25355562,15.8,0,0,F,1
CL22,YES,HAIR,ALL,29,urban,greenspace,2011-10-23,2011,10,MM,-23.5,8.7,46.1,15.1,0,0,F,0
CL22,YES,HAIR,ALL,30,urban,greenspace,2011-10-23,2011,10,MM,-23.5,8,46.25588074,15.4,0,0,F,0
CL23,NO,HAIR,ALL,31,urban,greenspace,2011-10-27,2011,10,MM,-22.2,8.2,46.28545763,15.7,0,0,F,1
CL24,NO,HAIR,ALL,32,urban,greenspace,2011-10-24,2011,10,MM,-23,7.7,45.82449621,15.5,0,0,M,1
CL26,YES,HAIR,BASE,33,urban,matrix,2012-02-01,2012,2,MM,-22.4,8.1,46.4,15.3,1,1,F,1
CL26,YES,HAIR,TIP,34,urban,matrix,2012-02-01,2012,2,MM,-22.6,7.8,46.6,15.2,1,0,F,1
CL26,YES,HAIR,ALL,35,urban,matrix,2011-11-08,2011,11,MM,-22.3,7.2,46.19937423,15.4,1,0,F,1
CL27,YES,HAIR,ALL,36,urban,greenspace,2012-03-05,2012,3,MM,-22.3,8.2,45.8,15.4,0,1,F,1
CL27,YES,HAIR,BASE,37,urban,greenspace,2012-05-17,2012,5,MM,-22.7,8.2,47.2,14.6,0,1,F,1
CL27,YES,HAIR,TIP,38,urban,greenspace,2012-05-17,2012,5,MM,-22.6,8.2,45.6,14.8,0,1,F,1
CL28,YES,HAIR,ALL,39,urban,greenspace,2012-10-30,2012,10,MM,-22.7,10.2,45.8,15.5,0,0,F,0
CL28,YES,HAIR,BASE,40,urban,greenspace,2013-01-24,2013,1,MM,-22.7,10.4,45.5,15.5,0,1,F,0
CL28,YES,HAIR,TIP,41,urban,greenspace,2013-01-24,2013,1,MM,-22.6,10.4,44.3,15,0,0,F,0
CL29,NO,HAIR,ALL,42,urban,matrix,2012-11-06,2012,11,MM,-23.6,6.8,45.6,15.1,0,0,F,0
KCL10,NO,HAIR,ALL,43,urban,urban,NA,NA,NA,MM,-23.9,5.3,45.22654687,15.3,0,NA,NA,1
KCL11,NO,HAIR,ALL,44,urban,urban,NA,NA,NA,MM,-23.8,4.7,46.12171437,15.7,0,NA,NA,1
KCL12,NO,HAIR,ALL,45,urban,urban,NA,NA,NA,MM,-21.8,7.4,46.0799629,15.7,0,NA,NA,0
KCL14,NO,HAIR,ALL,46,urban,urban,NA,NA,NA,MM,-23.7,7.6,46.64534673,14.5,0,NA,M,1
KCL15,NO,HAIR,ALL,47,urban,urban,NA,NA,NA,MM,-22.6,8,46.43746029,15,1,NA,M,0
KCL16,NO,HAIR,ALL,48,urban,urban,NA,NA,NA,MM,-23,7.6,46.10070477,15.6,1,NA,M,1
KCL17,NO,HAIR,ALL,49,urban,urban,NA,NA,NA,MM,-23.9,6.5,46.07802399,15.2,0,NA,M,0
KCL18,NO,HAIR,ALL,50,urban,urban,2006-03-25,2006,3,MM,-20,7.4,45.9,15.6,0,1,NA,0
KCL19,NO,HAIR,ALL,51,urban,urban,NA,NA,NA,MM,-20.1,7.2,45.25673381,14.8,1,NA,F,1
KCL20,NO,HAIR,ALL,52,urban,urban,NA,NA,NA,MM,-22.1,6.7,45.32431172,15.5,0,NA,M,1
RKCL21,YES,HAIR,BASE,53,urban,urban,NA,NA,NA,MM,-22.6,9.4,45.6,15.6,0,NA,F,1
